# resource_name	semantic_role	day_reference	night_reference
accent_black	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_blue_grey	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_brown	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_cyan	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_dark_s	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_deep_purple	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_green	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_grey	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_indigo	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_material_dark	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_material_light	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_orange	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_pink	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_purple	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_red	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_teal	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
accent_white	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
appbar_icon_color	fixed-dark-on_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
appbar_icon_color_light	fixed-light-on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
background_color_level1	fixed-light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
background_color_level1_night	fixed-dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
background_color_level2	fixed-light-surface	@android:color/system_neutral1_10	@android:color/system_neutral1_10
background_color_level2_night	fixed-dark-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
background_color_level3	fixed-light-surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_100
background_color_level3_night	fixed-dark-surface_container	@android:color/system_neutral1_800	@android:color/system_neutral1_800
background_color_level4	fixed-light-surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_200
background_color_level4_night	fixed-dark-surface_high	@android:color/system_neutral1_700	@android:color/system_neutral1_700
background_color_level5	fixed-light-surface_highest	@android:color/system_neutral1_300	@android:color/system_neutral1_300
background_color_level5_night	fixed-dark-surface_highest	@android:color/system_neutral1_600	@android:color/system_neutral1_600
background_color_level6	fixed-light-outline_variant	@android:color/system_neutral2_200	@android:color/system_neutral2_200
background_color_level6_night	fixed-dark-outline_variant	@android:color/system_neutral2_700	@android:color/system_neutral2_700
collection_chip_selected_fill	primary_container	@android:color/system_accent1_100	@android:color/system_accent1_700
color_accent	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
color_control_activated	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
color_primary	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
color_primary_dark	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
content_background	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
design_dark_default_color_background	fixed-dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_dark_default_color_on_background	fixed-dark-on_background	@android:color/system_neutral1_100	@android:color/system_neutral1_100
design_dark_default_color_on_primary	fixed-dark-on_primary	@android:color/system_accent1_800	@android:color/system_accent1_800
design_dark_default_color_on_secondary	fixed-dark-on_secondary	@android:color/system_accent2_800	@android:color/system_accent2_800
design_dark_default_color_on_surface	fixed-dark-on_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
design_dark_default_color_primary	fixed-dark-primary	@android:color/system_accent1_200	@android:color/system_accent1_200
design_dark_default_color_primary_dark	fixed-dark-primary_container	@android:color/system_accent1_700	@android:color/system_accent1_700
design_dark_default_color_primary_variant	fixed-dark-primary_container	@android:color/system_accent1_700	@android:color/system_accent1_700
design_dark_default_color_secondary	fixed-dark-secondary	@android:color/system_accent2_200	@android:color/system_accent2_200
design_dark_default_color_secondary_variant	fixed-dark-secondary_container	@android:color/system_accent2_700	@android:color/system_accent2_700
design_dark_default_color_surface	fixed-dark-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_background	fixed-light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
design_default_color_on_background	fixed-light-on_background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_on_primary	fixed-light-on_primary	@android:color/system_accent1_0	@android:color/system_accent1_0
design_default_color_on_secondary	fixed-light-on_secondary	@android:color/system_accent2_0	@android:color/system_accent2_0
design_default_color_on_surface	fixed-light-on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_primary	fixed-light-primary	@android:color/system_accent1_600	@android:color/system_accent1_600
design_default_color_primary_dark	fixed-light-primary_container	@android:color/system_accent1_100	@android:color/system_accent1_100
design_default_color_primary_variant	fixed-light-primary_container	@android:color/system_accent1_100	@android:color/system_accent1_100
design_default_color_secondary	fixed-light-secondary	@android:color/system_accent2_600	@android:color/system_accent2_600
design_default_color_secondary_variant	fixed-light-secondary_container	@android:color/system_accent2_100	@android:color/system_accent2_100
design_default_color_surface	fixed-light-surface	@android:color/system_neutral1_10	@android:color/system_neutral1_10
image_color_accent	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
image_color_primary	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
image_indicator_selected	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
image_indicator_unselected	outline_variant	@android:color/system_neutral2_200	@android:color/system_neutral2_700
launch_window_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
m3_ref_palette_neutral0	neutral-tonal-0	@android:color/system_neutral1_1000	@android:color/system_neutral1_1000
m3_ref_palette_neutral10	neutral-tonal-10	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_ref_palette_neutral100	neutral-tonal-100	@android:color/system_neutral1_0	@android:color/system_neutral1_0
m3_ref_palette_neutral12	neutral-tonal-12	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_ref_palette_neutral17	neutral-tonal-17	@android:color/system_neutral1_800	@android:color/system_neutral1_800
m3_ref_palette_neutral20	neutral-tonal-20	@android:color/system_neutral1_800	@android:color/system_neutral1_800
