# resource_name	semantic_role	day_reference	night_reference
action_sheet_button_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_button_bg_primary_default	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_button_bg_primary_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_button_bg_secondary_default	secondary_container	@android:color/system_accent2_100	@android:color/system_accent2_700
qui_button_bg_secondary_pressed	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_button_border_primary_default	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_button_border_primary_outline_default	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_button_border_primary_outline_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_button_border_primary_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_button_text_primary_default	on_primary	@android:color/system_accent1_0	@android:color/system_accent1_800
qui_button_text_primary_outline_default	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_button_text_primary_outline_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_button_text_secondary_default	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_cardlist_card_bg	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_bg_aio_01	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_aio_02	surface_low	@android:color/system_neutral1_50	@android:color/system_neutral1_900
qui_common_bg_aio_03	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_bg_aio_04	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_common_bg_bottom_brand	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_bg_bottom_light	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_bottom_standard	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_middle_light	surface_low	@android:color/system_neutral1_50	@android:color/system_neutral1_900
qui_common_bg_middle_standard	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_bg_nav_aio	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_nav_bottom	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_nav_bottom_aio	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_nav_primary	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_nav_secondary	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_bg_top_light	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_common_bg_top_light_pressed	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_common_brand_light	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_brand_standard	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_fill_light_primary	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_fill_light_primary_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_common_fill_light_primary_stick	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_fill_light_secondary	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_fill_light_secondary_pressed	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_common_fill_light_tertiary	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_common_fill_standard_brand	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_fill_standard_extra	surface_highest	@android:color/system_neutral1_300	@android:color/system_neutral1_600
qui_common_fill_standard_primary	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_fill_standard_quaternary	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_common_fill_standard_secondary	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_common_icon_aio_nav_active	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_icon_aio_toolbar_active	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_icon_nav_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_icon_nav_primary_pressed	on_surface_variant	@android:color/system_neutral2_700	@android:color/system_neutral2_200
qui_common_icon_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_icon_tabbar_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_on_brand_primary	on_primary	@android:color/system_accent1_0	@android:color/system_accent1_800
qui_common_text_link	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_common_text_nav_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_text_nav_primary_pressed	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_text_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_text_primary_pressed	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_common_text_tabbar_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_tui_button_bg_primary_default	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_tui_button_bg_primary_pressed	primary_pressed	@android:color/system_accent1_700	@android:color/system_accent1_300
qui_tui_button_text_primary_default	on_primary	@android:color/system_accent1_0	@android:color/system_accent1_800
qui_tui_button_text_secondary_default	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_tui_common_bg_nav_bottom	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_tui_common_bg_page	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_tui_common_bg_page_secondary	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_tui_common_bg_page_teriary	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_tui_common_bg_top_light	surface	@android:color/system_neutral1_10	@android:color/system_neutral1_900
qui_tui_common_brand_standard	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_tui_common_fill_light_primary	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_tui_common_fill_light_secondary	surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
qui_tui_common_fill_standard_quaternary	surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_700
qui_tui_common_icon_active	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_tui_common_icon_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
qui_tui_common_text_link	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
qui_tui_common_text_primary	on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_100
skin_aio_listen_together_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue2	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue3	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue_item	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue_link	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue_only_night	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_blue_single	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_color_btn_blue_v2	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_color_button_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_color_button_blue_local_albums	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_color_button_light_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_color_tab_simple_selected	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_forward_tips_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_mode_selected_border_color	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
skin_tab_selected_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
