# resource_name	semantic_role	day_reference	night_reference
m3_ref_palette_neutral70	neutral-tonal-70	@android:color/system_neutral1_300	@android:color/system_neutral1_300
m3_ref_palette_neutral80	neutral-tonal-80	@android:color/system_neutral1_200	@android:color/system_neutral1_200
m3_ref_palette_neutral87	neutral-tonal-87	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_ref_palette_neutral90	neutral-tonal-90	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_ref_palette_neutral92	neutral-tonal-92	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_ref_palette_neutral94	neutral-tonal-94	@android:color/system_neutral1_50	@android:color/system_neutral1_50
m3_ref_palette_neutral95	neutral-tonal-95	@android:color/system_neutral1_50	@android:color/system_neutral1_50
m3_ref_palette_neutral96	neutral-tonal-96	@android:color/system_neutral1_50	@android:color/system_neutral1_50
m3_ref_palette_neutral98	neutral-tonal-98	@android:color/system_neutral1_10	@android:color/system_neutral1_10
m3_ref_palette_neutral99	neutral-tonal-99	@android:color/system_neutral1_10	@android:color/system_neutral1_10
m3_ref_palette_neutral_variant0	neutral_variant-tonal-0	@android:color/system_neutral2_1000	@android:color/system_neutral2_1000
m3_ref_palette_neutral_variant10	neutral_variant-tonal-10	@android:color/system_neutral2_900	@android:color/system_neutral2_900
m3_ref_palette_neutral_variant100	neutral_variant-tonal-100	@android:color/system_neutral2_0	@android:color/system_neutral2_0
m3_ref_palette_neutral_variant20	neutral_variant-tonal-20	@android:color/system_neutral2_800	@android:color/system_neutral2_800
m3_ref_palette_neutral_variant30	neutral_variant-tonal-30	@android:color/system_neutral2_700	@android:color/system_neutral2_700
m3_ref_palette_neutral_variant40	neutral_variant-tonal-40	@android:color/system_neutral2_600	@android:color/system_neutral2_600
m3_ref_palette_neutral_variant50	neutral_variant-tonal-50	@android:color/system_neutral2_500	@android:color/system_neutral2_500
m3_ref_palette_neutral_variant60	neutral_variant-tonal-60	@android:color/system_neutral2_400	@android:color/system_neutral2_400
m3_ref_palette_neutral_variant70	neutral_variant-tonal-70	@android:color/system_neutral2_300	@android:color/system_neutral2_300
m3_ref_palette_neutral_variant80	neutral_variant-tonal-80	@android:color/system_neutral2_200	@android:color/system_neutral2_200
m3_ref_palette_neutral_variant90	neutral_variant-tonal-90	@android:color/system_neutral2_100	@android:color/system_neutral2_100
m3_ref_palette_neutral_variant95	neutral_variant-tonal-95	@android:color/system_neutral2_50	@android:color/system_neutral2_50
m3_ref_palette_neutral_variant98	neutral_variant-tonal-98	@android:color/system_neutral2_10	@android:color/system_neutral2_10
m3_ref_palette_neutral_variant99	neutral_variant-tonal-99	@android:color/system_neutral2_10	@android:color/system_neutral2_10
m3_ref_palette_primary0	primary-tonal-0	@android:color/system_accent1_1000	@android:color/system_accent1_1000
m3_ref_palette_primary10	primary-tonal-10	@android:color/system_accent1_900	@android:color/system_accent1_900
m3_ref_palette_primary100	primary-tonal-100	@android:color/system_accent1_0	@android:color/system_accent1_0
m3_ref_palette_primary20	primary-tonal-20	@android:color/system_accent1_800	@android:color/system_accent1_800
m3_ref_palette_primary30	primary-tonal-30	@android:color/system_accent1_700	@android:color/system_accent1_700
m3_ref_palette_primary40	primary-tonal-40	@android:color/system_accent1_600	@android:color/system_accent1_600
m3_ref_palette_primary50	primary-tonal-50	@android:color/system_accent1_500	@android:color/system_accent1_500
m3_ref_palette_primary60	primary-tonal-60	@android:color/system_accent1_400	@android:color/system_accent1_400
m3_ref_palette_primary70	primary-tonal-70	@android:color/system_accent1_300	@android:color/system_accent1_300
m3_ref_palette_primary80	primary-tonal-80	@android:color/system_accent1_200	@android:color/system_accent1_200
m3_ref_palette_primary90	primary-tonal-90	@android:color/system_accent1_100	@android:color/system_accent1_100
m3_ref_palette_primary95	primary-tonal-95	@android:color/system_accent1_50	@android:color/system_accent1_50
m3_ref_palette_primary98	primary-tonal-98	@android:color/system_accent1_10	@android:color/system_accent1_10
