# resource_name	semantic_role	day_reference	night_reference
accent_material_dark	dark-primary	@android:color/system_accent1_200	@android:color/system_accent1_200
accent_material_light	light-primary	@android:color/system_accent1_600	@android:color/system_accent1_600
alt_text_background_fill	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
appBackground	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
app_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
article_preview_label_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
background_floating_material_dark	dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
background_floating_material_light	light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
background_material_dark	dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
background_material_light	light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
blue_0	x-blue-tone-50	@android:color/system_accent1_50	@android:color/system_accent1_50
blue_100	x-blue-tone-100	@android:color/system_accent1_100	@android:color/system_accent1_100
blue_1000	x-blue-tone-900	@android:color/system_accent1_900	@android:color/system_accent1_900
blue_1100	x-blue-tone-900	@android:color/system_accent1_900	@android:color/system_accent1_900
blue_200	x-blue-tone-200	@android:color/system_accent1_200	@android:color/system_accent1_200
blue_300	x-blue-tone-300	@android:color/system_accent1_300	@android:color/system_accent1_300
blue_400	x-blue-tone-400	@android:color/system_accent1_400	@android:color/system_accent1_400
blue_50	x-blue-tone-100	@android:color/system_accent1_100	@android:color/system_accent1_100
blue_500	x-blue-tone-500	@android:color/system_accent1_500	@android:color/system_accent1_500
blue_600	x-blue-tone-600	@android:color/system_accent1_600	@android:color/system_accent1_600
blue_700	x-blue-tone-600	@android:color/system_accent1_600	@android:color/system_accent1_600
blue_800	x-blue-tone-700	@android:color/system_accent1_700	@android:color/system_accent1_700
blue_900	x-blue-tone-800	@android:color/system_accent1_800	@android:color/system_accent1_800
bottom_sheet_edge_to_edge_navbar_color	surface-container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
btn_text_link_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
btn_toolbar_text	on-surface-variant	@android:color/system_neutral2_700	@android:color/system_neutral2_200
cardview_dark_background	surface-container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
cardview_light_background	surface-container	@android:color/system_neutral1_100	@android:color/system_neutral1_800
clip_card_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
colorPrimary	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
colorPrimaryVariant	primary-container	@android:color/system_accent1_100	@android:color/system_accent1_700
community_blue	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
custom_push_primary_color	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
custom_push_primary_dark_color	primary-container	@android:color/system_accent1_100	@android:color/system_accent1_700
dark_theme_window_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
design_dark_default_color_background	dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_dark_default_color_on_background	dark-on-background	@android:color/system_neutral1_100	@android:color/system_neutral1_100
design_dark_default_color_on_primary	dark-on-primary	@android:color/system_accent1_800	@android:color/system_accent1_800
design_dark_default_color_on_surface	dark-on-surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
design_dark_default_color_primary	dark-primary	@android:color/system_accent1_200	@android:color/system_accent1_200
design_dark_default_color_primary_dark	dark-primary-container	@android:color/system_accent1_700	@android:color/system_accent1_700
design_dark_default_color_primary_variant	dark-primary-container	@android:color/system_accent1_700	@android:color/system_accent1_700
design_dark_default_color_surface	dark-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_background	light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
design_default_color_on_background	light-on-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_on_primary	light-on-primary	@android:color/system_accent1_0	@android:color/system_accent1_0
design_default_color_on_surface	light-on-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
design_default_color_primary	light-primary	@android:color/system_accent1_600	@android:color/system_accent1_600
design_default_color_primary_dark	light-primary-container	@android:color/system_accent1_100	@android:color/system_accent1_100
design_default_color_primary_variant	light-primary-container	@android:color/system_accent1_100	@android:color/system_accent1_100
design_default_color_surface	light-surface	@android:color/system_neutral1_10	@android:color/system_neutral1_10
design_snackbar_background_color	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
drawer_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
dropdown_nav_tab_icon_color	on-surface-variant	@android:color/system_neutral2_700	@android:color/system_neutral2_200
fab_menu_item_background_color	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
gray_0	neutral-98	@android:color/system_neutral1_10	@android:color/system_neutral1_10
gray_100	neutral-90	@android:color/system_neutral1_100	@android:color/system_neutral1_100
gray_200	neutral-variant-gray200	@android:color/system_neutral2_100	@android:color/system_neutral2_700
gray_300	neutral-variant-gray300	@android:color/system_neutral2_200	@android:color/system_neutral2_500
gray_50	neutral-95	@android:color/system_neutral1_50	@android:color/system_neutral1_50
grey_action_background	background	@android:color/system_neutral1_10	@android:color/system_neutral1_900
light_grey	neutral-variant-light-grey	@android:color/system_neutral2_200	@android:color/system_neutral2_300
link	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
link_color	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
link_selected	primary	@android:color/system_accent1_600	@android:color/system_accent1_200
material_dynamic_primary0	primary-tone-0	@android:color/system_accent1_1000	@android:color/system_accent1_1000
material_dynamic_primary10	primary-tone-10	@android:color/system_accent1_900	@android:color/system_accent1_900
material_dynamic_primary100	primary-tone-100	@android:color/system_accent1_0	@android:color/system_accent1_0
material_dynamic_primary20	primary-tone-20	@android:color/system_accent1_800	@android:color/system_accent1_800
material_dynamic_primary30	primary-tone-30	@android:color/system_accent1_700	@android:color/system_accent1_700
material_dynamic_primary40	primary-tone-40	@android:color/system_accent1_600	@android:color/system_accent1_600
material_dynamic_primary50	primary-tone-50	@android:color/system_accent1_500	@android:color/system_accent1_500
material_dynamic_primary60	primary-tone-60	@android:color/system_accent1_400	@android:color/system_accent1_400
material_dynamic_primary70	primary-tone-70	@android:color/system_accent1_300	@android:color/system_accent1_300
material_dynamic_primary80	primary-tone-80	@android:color/system_accent1_200	@android:color/system_accent1_200
material_dynamic_primary90	primary-tone-90	@android:color/system_accent1_100	@android:color/system_accent1_100
material_dynamic_primary95	primary-tone-95	@android:color/system_accent1_50	@android:color/system_accent1_50
material_dynamic_primary99	primary-tone-99	@android:color/system_accent1_10	@android:color/system_accent1_10
material_on_background_emphasis_high_type	on-background	@android:color/system_neutral1_900	@android:color/system_neutral1_100
material_on_background_emphasis_medium	on-background	@android:color/system_neutral1_900	@android:color/system_neutral1_100
